t_ms,ax,ay,az,gx,gy,gz,mx,my,mz
827807,-1.4645546,-0.86939216,11.432626,-0.67138664,0.5493164,-3.35693332,-27.915846,9.182844,25.368666
827848,-1.3579761,-0.38679568,9.970467,1.2817382,-1.7089842,-3.4790036,-30.488028,10.652443,25.753206
827889,-1.7447718,-0.26225466,10.037527,-1.159668,-0.488281232,-1.8310546,-30.120216,11.019591,21.963452
827931,-1.0777588,-0.336500268,9.826766,0.7324218,-0.7324218,0.0,-29.386052,10.285118,23.102142
827942,0.15208374,-0.38320316,9.892629,-0.7324218,-1.2207031,-3.2958982,-30.488028,9.183141,25.374484
827984,0.305365,-0.4143384,9.909393,0.0,-4.8828124,0.976562464,-27.916748,9.917792,24.617036
828024,0.32572266,-0.35805544,9.850716,0.30517578,-1.4038085,0.30517578,-27.182096,7.713838,21.587248
828065,0.28979736,-0.3520679,9.910591,0.18310546,0.976562464,0.3662109,-30.854854,9.182993,26.886296
828076,0.3173401,-0.30895756,9.889036,0.30517578,0.7324218,0.42724606,-29.753376,8.081164,24.99576
828118,0.4023633,-0.3161426,9.884246,0.18310546,-0.67138664,0.30517578,-30.854854,10.652271,25.750254
828159,0.3891907,-0.3556604,9.912986,0.3662109,0.5493164,0.244140616,-30.11973,9.182844,23.096844
828200,0.30057496,-0.3796106,9.958491,0.0,-0.18310546,0.3662109,-29.385102,12.488668,23.854118
828211,0.3424878,-0.36284548,9.947714,0.18310546,-0.488281232,0.3662109,-28.6514,8.815815,23.102142
828252,0.35087036,-0.36164796,9.892629,0.061035152,-0.793457,0.30517578,-31.222176,10.284952,24.992894
828293,0.42032592,-0.41194338,9.911789,0.244140616,-0.3662109,0.42724606,-31.588984,7.3462752,25.368666
828335,0.344882832,-0.3903882,9.909393,0.244140616,-0.9155273,0.30517578,-30.120702,8.081164,24.99576
828346,0.3293152,-0.34368532,9.942924,0.18310546,-1.0986328,0.3662109,-29.384634,8.815391,23.094196
828387,0.2945874,-0.33290774,9.924961,0.18310546,-0.67138664,0.3662109,-30.486558,9.182698,23.851384
828428,0.34727784,-0.38679568,9.977652,0.18310546,-0.7324218,0.244140616,-29.753376,8.815815,23.102142
828469,0.28740236,-0.36045044,9.867481,0.3662109,-0.488281232,0.18310546,-29.752414,9.917472,20.446386
828481,0.32572266,-0.3891907,9.8938264,0.244140616,-0.488281232,0.3662109,-31.22167,10.284785,24.990028
828524,0.32452516,-0.37601808,9.942924,0.18310546,-0.7324218,0.244140616,-29.384634,9.917315,24.60857
828565,0.36164796,-0.2921924,9.912986,0.244140616,-0.244140616,0.42724606,-31.588984,7.713589,22.3395716
828577,0.401165784,-0.366438,9.952504,0.244140616,-0.244140616,0.244140616,-30.486558,8.448082,19.308262
828619,0.3412903,-0.4131409,9.957294,0.244140616,0.30517578,0.122070308,-31.589494,9.550312,21.584772
828662,0.429906,-0.340092768,9.829161,0.18310546,-0.42724606,0.244140616,-30.120702,9.917792,21.587248
828703,0.30057496,-0.38200564,9.947714,0.18310546,0.18310546,0.42724606,-29.385102,11.019413,22.718208
828715,0.3772156,-0.32692018,9.8866416,0.30517578,0.0,0.30517578,-31.222176,10.284952,21.963452
828756,0.32213014,-0.3532654,9.908196,0.30517578,-0.976562464,0.3662109,-29.752896,11.019591,26.507614
828800,0.37482056,-0.3305127,9.860296,0.42724606,-1.2207031,0.30517578,-28.650474,10.6521,23.4754816
828811,0.37003052,-0.3161426,9.860296,0.244140616,-0.976562464,0.3662109,-31.589494,11.38691,23.856854
828852,0.36763552,-0.340092768,9.933344,0.244140616,-0.5493164,0.488281232,-31.222176,12.121551,25.750254
828894,0.3891907,-0.38080812,9.896221,0.061035152,0.61035156,0.3662109,-32.324136,12.121551,23.0994932
828937,0.39637576,-0.3305127,9.875863,0.122070308,0.793457,0.42724606,-30.487044,7.3462752,25.747302
828949,0.31494508,-0.41912844,9.850716,0.122070308,0.5493164,0.42724606,-30.487044,10.6521,22.718208
828990,0.364043,-0.31015504,9.962084,0.122070308,-0.122070308,0.488281232,-31.22167,10.284785,23.4754816
829032,0.4490662,-0.3772156,9.904604,0.18310546,-0.9155273,0.30517578,-30.487536,10.652271,20.827412
829043,0.31853762,-0.36763552,9.903406,0.30517578,-1.0375976,0.30517578,-30.486558,7.3461584,23.851384
829087,0.37242556,-0.392783232,9.889036,0.488281232,-4.0893556,0.3662109,-31.589494,7.7137132,25.371574
829128,-0.27303224,0.240699468,10.194401,-0.488281232,7.141113,2.0141602,-31.222176,8.815673,20.827412
829170,0.393980736,-0.232316916,9.645942,0.488281232,0.488281232,-14.343261,-30.120702,10.285118,24.99576
829182,-6.496491,-0.41793092,9.599238,3.0517576,-7.629394,12.08496,-30.854356,9.5501584,25.368666
829225,0.09580079,-0.407153336,11.103311,0.67138664,-2.6855466,9.399414,-28.6514,10.652443,26.510654
829266,-3.9829176,0.364043,8.920251,0.42724606,-6.103515,-8.483887,-30.854356,9.917472,22.3395716
829277,-1.5399976,-0.3161426,9.295072,-1.159668,-0.5493164,19.53125,-28.650018,8.815391,22.33701
829317,-1.5208374,-0.37362308,11.696078,0.67138664,-2.5634764,-5.187988,-29.017788,11.386727,26.504576
829360,-0.7831714,-0.45864628,7.209009,2.6855466,-1.4038085,-5.5541988,-26.813478,8.815391,26.501538
829402,-0.27542724,-0.36763552,13.197756,1.4038085,0.30517578,-6.71386668,-30.119252,11.753854,24.229976
829413,2.4884256,-0.7699988,11.649376,-2.319336,-3.2958982,-4.8217772,-29.017788,9.5501584,23.096844
829454,3.0764026,-0.920885,11.429033,0.122070308,-3.84521468,-1.4038085,-27.915404,9.917315,24.229976
829496,0.90891,-0.7388635,12.426559,0.42724606,-2.868652,-4.760742,-29.385102,9.917472,26.504576
829507,2.022594,-0.52690432,8.120314,0.122070308,1.586914,-5.1269528,-25.711964,9.5501584,26.125938
829549,1.82380752,-0.5185217,11.669733,-1.89208976,-2.0141602,1.586914,-28.650936,11.019591,25.750254
829591,0.5712122,-0.22872438,8.57896,-1.2207031,-0.244140616,2.868652,-29.017788,13.59061,22.718208
829632,1.4837147,-0.22752686,9.953702,0.0,1.7700194,4.699707,-26.814772,9.917792,25.753206
829643,0.70293824,-0.38200564,9.874666,0.244140616,-1.159668,4.333496,-28.650474,9.917472,26.8832132
829685,0.40954836,-0.3784131,9.815988,0.18310546,3.601074,0.488281232,-28.283162,10.284785,27.261848
829726,0.398770784,-0.344882832,9.964479,0.122070308,1.586914,0.67138664,-28.283618,10.652271,27.264974
829768,0.38320316,-0.3915857,9.884246,0.244140616,-0.793457,0.61035156,-27.916298,11.38691,22.720812
829779,0.39996828,-0.3532654,9.945319,0.30517578,-0.3662109,0.7324218,-27.181658,11.38691,29.915738
829820,0.37482056,-0.30776004,9.915381,0.18310546,0.18310546,0.42724606,-26.0792768,11.754041,27.640486
829862,0.4023633,-0.37601808,9.922566,0.122070308,0.30517578,0.3662109,-27.548532,11.754041,26.125938
829903,0.3544629,-0.3305127,9.992022,0.18310546,0.3662109,0.5493164,-27.18122,10.284785,28.397758
829914,0.42272096,-0.37122804,9.941727,0.18310546,0.5493164,0.488281232,-29.385576,9.917632,24.614214
829956,0.393980736,-0.36045044,9.85311,0.18310546,1.0986328,0.488281232,-29.018258,11.019591,20.827412
829997,0.35685792,-0.393980736,9.875863,0.244140616,-0.7324218,0.42724606,-28.650936,9.550312,28.401016
830009,0.37003052,-0.3532654,9.85311,0.244140616,-0.61035156,0.3662109,-28.283162,11.019413,24.990028
830050,0.364043,-0.3532654,10.01238,0.061035152,-1.2817382,0.5493164,-26.447018,11.7542308,26.128934
830091,0.38080812,-0.405955816,9.905801,0.30517578,-0.30517578,0.67138664,-30.854854,10.284952,22.720812
830132,0.3796106,-0.35685792,9.910591,0.30517578,-0.976562464,1.0986328,-25.34506,12.121551,25.371574
830143,0.40954836,-0.3293152,9.940529,0.122070308,-0.793457,0.8544921,-29.752896,11.38691,26.886296
830184,0.42272096,-0.37482056,9.854308,0.18310546,-1.0375976,0.8544921,-26.0792768,9.5501584,26.8832132
830227,0.37242556,-0.336500268,9.868678,0.0,-0.976562464,0.7324218,-28.650474,10.6521,30.290944
830268,0.34608032,-0.35805544,9.942924,0.244140616,-0.18310546,0.7324218,-27.548976,10.284952,23.856854
830279,0.39517824,-0.36284548,9.871074,0.18310546,0.061035152,0.7324218,-26.814772,11.3870944,21.587248
830320,0.4382886,-0.42511596,9.930949,0.244140616,-1.2207031,0.488281232,-27.181658,10.652271,26.507614
830364,0.40954836,-0.34967284,9.927357,0.244140616,-0.244140616,0.3662109,-28.283618,10.284952,26.507614
830375,0.4023633,-0.38320316,9.845925,0.122070308,-0.488281232,0.3662109,-28.283162,10.284785,21.582296
830416,0.398770784,-0.34847536,9.862691,0.18310546,-0.244140616,0.30517578,-27.916298,12.48887,27.264974
830458,0.39996828,-0.336500268,9.883048,0.122070308,-0.61035156,0.0,-29.385102,12.121354,26.8832132
830501,0.403560832,-0.31853762,9.849518,0.122070308,-0.30517578,0.3662109,-27.182096,11.3870944,21.587248
830513,0.42272096,-0.3796106,9.936936,0.18310546,-0.5493164,0.30517578,-28.283618,10.652271,26.128934
830554,0.37482056,-0.4490662,9.951306,0.122070308,-0.61035156,0.42724606,-27.549424,9.550467,26.510654
830596,0.3879932,-0.36763552,9.916579,0.244140616,-0.3662109,0.3662109,-26.08012,8.448489,22.344694
830607,0.392783232,-0.336500268,9.811198,0.244140616,-0.61035156,0.42724606,-30.854356,9.917472,25.747302
830651,0.4155359,-0.37122804,9.932146,0.30517578,-0.42724606,0.3662109,-26.814772,12.121746,27.646826
830692,0.3903882,-0.39996828,9.935739,0.244140616,-0.244140616,0.3662109,-26.813906,11.754041,28.776396
830734,0.38200564,-0.364043,9.869876,0.18310546,-0.9155273,0.488281232,-27.916298,9.182993,21.20609
830745,0.39996828,-0.36284548,9.935739,0.244140616,-0.30517578,0.42724606,-27.548976,9.917632,25.750254
830789,0.39517824,-0.34727784,9.939331,0.18310546,-0.244140616,0.30517578,-29.018258,10.284952,24.992894
830830,0.47062136,-0.34967284,9.911789,0.30517578,-0.42724606,0.42724606,-27.18122,9.917472,24.611392
830841,0.42511596,-0.37482056,9.8938264,0.18310546,-0.67138664,0.30517578,-28.6514,11.3870944,24.238312
830883,0.39996828,-0.3520679,9.923764,0.30517578,0.0,0.244140616,-26.814338,12.121551,28.401016
830925,0.37122804,-0.37122804,9.964479,0.244140616,0.67138664,0.30517578,-27.182096,10.285118,22.344694
830967,0.44667116,-0.35925296,9.895023,0.18310546,0.18310546,0.30517578,-30.120216,9.550312,24.992894
830978,0.42272096,-0.32572266,9.966874,0.18310546,-0.18310546,0.244140616,-27.549868,13.223936,25.377394
831020,0.484991468,-0.3903882,9.915381,0.18310546,0.18310546,0.244140616,-29.017788,8.080903,22.3395716
831063,0.43709108,-0.403560832,9.910591,0.122070308,0.122070308,0.30517578,-27.548976,10.652271,24.614214
831090,0.4622388,-0.32452516,9.906999,0.18310546,0.0,0.244140616,-29.385576,9.550312,22.342132
831131,0.3796106,-0.3305127,9.847123,0.18310546,0.122070308,0.244140616,-27.548976,9.917632,30.673098
831142,0.4239185,-0.33171022,9.895023,0.30517578,0.0,0.488281232,-28.283618,10.284952,27.264974
831184,0.42511596,-0.35925296,9.868678,0.30517578,0.18310546,0.3662109,-27.915846,12.488668,25.747302
831227,0.44667116,-0.3772156,9.859098,0.3662109,2.6245114,0.3662109,-26.446592,10.6521,22.718208
831267,0.243094492,-0.40954836,9.986034,0.793457,5.249023,-2.7465818,-28.28453,9.550621,24.241092
831278,0.8538245,-0.29817996,10.013577,1.0986328,6.6528316,-3.601074,-27.917198,9.917953,25.75616
831319,-1.0106983,-0.5891748,8.710687,8.666992,6.103515,33.02002,-27.916298,10.652271,23.478172
831362,0.971180432,-0.17363892,10.424323,-0.122070308,2.380371,-5.4321284,-28.6514,12.489072,23.102142
831403,1.4298267,-0.46104128,8.59333,-4.3945312,3.234863,5.737304,-26.08012,11.75442,27.646826
831413,4.773274,0.7316785,8.2759908,-0.061035152,2.868652,-7.0190424,-29.385576,11.019591,24.235532
831454,0.6011499,-0.65384036,11.460169,-0.42724606,11.1083976,9.155273,-28.284072,9.917792,26.131932
831497,0.06466553,-1.3112732,11.832595,0.3662109,3.9062498,7.629394,-28.284072,10.285118,22.344694
831509,-0.6358777,-0.59276736,9.484278,-0.5493164,4.8217772,3.9062498,-29.386052,10.652443,25.753206
831550,-0.9053174,-0.7436536,10.297387,0.122070308,-1.0986328,2.0141602,-30.120216,10.652271,23.856854
831591,-1.9243983,-0.81909672,11.285333,-2.9907224,-2.7465818,-6.71386668,-27.181658,10.284952,24.614214
831634,-1.6190332,-0.405955816,9.686657,0.244140616,1.89208976,-4.3945312,-30.855352,10.652443,23.480866
831647,-0.7771839,-0.25027956,9.992022,0.5493164,0.061035152,-3.4790036,-29.386052,11.019769,24.99576
831688,-1.3879138,-0.011975098,10.029144,0.61035156,-0.18310546,0.976562464,-33.426094,9.550312,25.371574
831730,-0.7376661,-0.3532654,10.164463,-0.8544921,-1.9531249,-0.122070308,-31.956814,9.550312,21.963452
831742,0.29578492,-0.3532654,9.865086,-1.0375976,-7.202148,0.5493164,-31.589494,10.284952,21.584772
831785,0.1939966,-0.35805544,9.825568,-1.0986328,-4.272461,1.7700194,-31.22268,9.917792,21.587248
831825,0.27183472,-0.34368532,9.918974,0.42724606,1.4648436,0.18310546,-29.753856,6.611968,20.83219
831866,0.22393434,-0.37482056,9.989627,0.18310546,2.0751952,-0.061035152,-29.386052,10.652443,20.072354
831877,0.25027956,-0.38559816,9.874666,0.0,1.7089842,-0.061035152,-31.22167,11.019413,20.446386
831919,0.2682422,-0.33290774,9.976455,0.244140616,0.488281232,0.30517578,-32.690924,9.5501584,20.825024
831961,0.20477418,-0.3388953,9.932146,0.30517578,0.3662109,0.122070308,-31.588482,9.550006,23.094196
832002,0.22393434,-0.31374758,9.8938264,0.30517578,-0.244140616,0.488281232,-30.11973,6.9789616,24.232754
832014,0.201181652,-0.36524048,9.939331,-0.061035152,-0.3662109,0.5493164,-30.11973,10.284785,21.582296
832055,0.14968872,-0.38320316,9.942924,-0.061035152,-0.67138664,0.61035156,-28.650474,9.5501584,20.446386
832097,0.32093264,-0.36524048,9.923764,0.061035152,-0.122070308,0.3662109,-31.22167,9.182844,22.718208
